Escola,Código INEP,Categoria Administrativa,Logradouro,Número,Bairro,CEP,Telefone,Latitude,Longitude
BRANCA DE NEVE ESCOLA DE EDUCACAO INFANTIL,35175250,Privada,MANUEL COVAS RAIA,389 RUA,RUA,11380-070,(13) 35611712,-23.95528,-46.37042
LAR DE ASSISTENCIA AO MENOR,35175304,Privada,NICOLAU PATRICIO MOREIRA,225 RUA,RUA,11340-380,(13) 34643373,-23.9532628,-46.415752
NOSSA SENHORA DE FATIMA CRECHE MUNICIPAL,35175336,Privada,STELIO MACHADO LOUREIRO,66 RUA,RUA,11355-240,(13) 34642627,-23.9555476,-46.4048457
SONHO DA CRIANCA CRECHE MUNICIPAL,35175389,Privada,VALE DO PO,768 VILA MARGARIDA,MARGARIDA,11330-670,(13) 34649897,-23.9669402,-46.4074435
CAMINHOS DO SABER COLEGIO,35187264,Privada,R PIO XII,126 QUADRA 4 LOTE 18 E 1,1,11340-080,(13) 34699282,-23.9598957,-46.401741
UNIDADE EDUCACIONAL MATTEO BEI II,35193276,Pública,FREI GASPAR,2236 RUA,RUA,11340-000,(13) 34678339,-23.9591787,-46.3991894
CARINHOSO NUCLEO INFANTIL DE CONVIVENCIA,35196770,Privada,CAPITAO M,,,11310-200,(13) 34686056,-23.96786,-46.39181
MAROTYNHO INSTITUTO EDUCACIONAL INFANTIL,35196782,Privada,PREFEITO JOSE MONTEIRO,56 AVENIDA,AVENIDA,11380-000,(13) 34698152,-23.96126,-46.37657
UNIDADE EDUCACIONAL RAUL ROCHA DO AMARAL,35209582,Pública,BELO HORIZONTE,273 RUA,RUA,11347-750,(13) 35661060,-23.982047,-46.4534113
UNIDADE EDUCACIONAL AUGUSTO DE SAINT HILAIRE,35214450,Pública,MARTINS FONTES,1000 AVENIDA,AVENIDA,11390-200,(13) 34682924,-23.9620247,-46.3918101
UNIDADE EDUCACIONAL PROF CONSTANTE LUCIANO CLEMENTE HOULMONT,35214462,Pública,ANTONIO EMMERICK,504 AVENIDA,AVENIDA,11390-000,(13) 34682929,-23.9616099,-46.3780126
UNIDADE EDUCACIONAL PROFESSOR JACOB ANDRADE CAMARA,35214474,Pública,STELIO MACHADO LOUREIRO,1071 RUA,RUA,11355-240,(13) 34641784,-23.946888,-46.4062647
UNIDADE EDUCACIONAL PROFESSORA LEONOR GUIMARAES ALVES STOFFEL,35214486,Pública,OEIRAS,SN RUA,RUA,11345-030,(13) 35760268,-23.9902694,-46.4762827
UNIDADE EDUCACIONAL MANOEL NASCIMENTO JUNIOR,35214498,Pública,ROBERTO KOCK,300 RUA,RUA,11360-190,(13) 34644525,-23.944009,-46.39953
UNIDADE EDUCACIONAL PROFESSOR OCTAVIO DE CESARE,35214504,Pública,TENENTE DURVAL DO AMARAL,183 RUA,RUA,11390-300,(13) 34681938,-23.9611229,-46.3859167
UNIDADE EDUCACIONAL UNIAO CIVICA FEMININA,35214516,Pública,RUI BARBOSA,SN PRACA,PRACA,11360-040,(13) 34672634,-23.9556691,-46.3991328
UNIDADE EDUCACIONAL PREFEITO SEBASTIAO RIBEIRO DA SILVA,35230868,Pública,QUIRINO MARIO BIASOLI,90 RUA,RUA,11350-440,(13) 34636347,-23.9398491,-46.4181378
UNIDADE EDUCACIONAL FRANCISCO MARTINS DOS SANTOS,35230873,Pública,DONALD ALEXANDRE KEALMAN DOUTOR,255 RUA,RUA,11347-040,(13) 35663577,-23.9774028,-46.4785624
UNIDADE EDUCACIONAL PREFEITO JORGE BIERRENBACH SENRA,35230881,Pública,LUIZ FERREIRA MORGADO,1783 RUA,RUA,11347-210,(13) 35660146,-23.9847787,-46.4647343
UNIDADE EDUCACIONAL PREFEITO JONAS RODRIGUES,35230893,Pública,ALEXANDRE SENDIM,304 RUA,RUA,11330-420,(13) 34676024,-23.9747474,-46.3981686
UNIDADE EDUCACIONAL SAULO TARSO MARQUES DE MELLO,35230900,Pública,DOZE,140 RUA,RUA,11348-390,(13) 34064593,-23.9566059,-46.4580674
UNIDADE EDUCACIONAL VILA JOQUEI,35233845,Pública,FERNANDO FERRARI,SN RUA,RUA,11360-360,(13) 34634710,-23.9417604,-46.402405
UNIDADE EDUCACIONAL PROFESSORA REGINA CELIA DOS SANTOS,35233857,Pública,DE VISCONDE TAMANDARE,385 AVENIDA,AVENIDA,11310-441,(13) 35767721,-23.9660891,-46.39018
UNIDADE EDUCACIONAL ANA LUCIA ALMEIDA DE OLIVEIRA,35243164,Pública,JOAO FRANCISCO BENSDORP,201 AVENIDA,AVENIDA,11350-010,(13) 34624924,-23.95536,-46.410212
UNIDADE EDUCACIONAL PROFESSORA VERA LUCIA MACHADO MASSIS,35246165,Pública,JOAO FRANCISCO BENSDORP,1381 AVENIDA,AVENIDA,11350-011,(13) 34639166,-23.9467563,-46.4167258
PAULA LOURENCO DE OLIVEIRA CRECHE MUNICIPAL,35247832,Pública,RUA LIBANIA DE LIMA CROOCK,844 RUA,RUA,11335-050,(13) 34630292,-23.9655817,-46.4090191
TIO JOSE CRECHE MUNICIPAL,35247844,Pública,OITO,240 RUA,RUA,11330-380,(13) 34630245,-23.9731244,-46.4075119
PASTORIL CRECHE MUNICIPAL,35247856,Pública,RUA SAO MIGUEL DOS CAMPOS,173 RUA,RUA,11370-440,(13) 34670689,-23.9509605,-46.3871484
CRIANCA ESPERANCA CRECHE MUNICIPAL,35247881,Pública,VINTE E DOIS,120 RUA,RUA,11347-080,(13) 35760355,-23.9750069,-46.4772504
ISIDORO MENDES INSTITUTO GLAID SENA CRECHE MUNICIPAL,35247923,Pública,DOUTOR ALCIDES DE ARAUJO,25 VILA CASCATINHA,CASCATINHA,11370-200,(13) 35610283,-23.9614471,-46.3838512
NOVA ESPERANCA CRECHE MUNICIPAL,35247947,Pública,CINCO,351 RUA,RUA,11347-460,(13) 35760329,-23.9803884,-46.4603493
MARIA JOSEFA DA SILVA CRECHE MUNICIPAL,35247972,Pública,SENADOR SALGADO FILHO,1040 AVENIDA,AVENIDA,11360-200,(13) 34630519,-23.942471,-46.3959859
ONDINA MARQUES DE MELO CRECHE MUNICIPAL,35247984,Pública,PADRE ANDRE SOVERAL,SN RUA,RUA,11345-310,(13) 35760316,-23.9930787,-46.4906514
SANTA TEREZINHA CRECHE MUNICIPAL,35247996,Pública,BRASILIA,30 AVENIDA,AVENIDA,11347-550,(13) 35760234,-23.9801338,-46.4533914
LUIZ GONZAGA OLIVEIRA GOMES CRECHE MUNICIPAL,35248010,Pública,PAULO HORCEL,251 263,263,11325-100,(13) 35670206,-23.98871,-46.3941201
VOVO RAIMUNDO CRECHE MUNICIPAL,35248083,Pública,CAPITAO ANTAO DE MOURA,47 RUA,RUA,11330-100,(13) 34660427,-23.9712024,-46.3942663
JUDITH CUNHA AMORIM CRECHE MUNICIPAL,35248095,Pública,RUA MIGUEL PASQUARELLI,267 RUA,RUA,11340-360,(13) 34630595,-23.9536826,-46.4148289
ALEXANDER DE SOUZA BARREIRA CRECHE MUNICIPAL,35248125,Pública,FRANCISCO XAVIER DOS PASSOS,43 RUA,RUA,11380-040,(13) 35610364,-23.9587956,-46.3733857
MENINO JESUS CRECHE MUNICIPAL,35248150,Pública,ALVARO TREVISAN,185 VILA NOVA SAO VICENTE,VICENTE,11346-340,(13) 35760284,-23.9897059,-46.48799
UNIDADE EDUCACIONAL ERCILIA NOGUEIRA COBRA,35248976,Pública,VALE DO PO,400 RUA,RUA,11330-670,(13) 34645146,-23.9696966,-46.4049972
CIRCUITO ESCOLA TECNICA NA AREA DA SAUDE,35259779,Privada,GASPAR FREI,2450 RUA,RUA,11340-000,(13) 34661000,-23.9581216,-46.4010952
CMEJA DE SAO VICENTE CEJAIN,35265457,Pública,CAPITAOMOR AGUIAR,798 CENTRO,CENTRO,11310-200,(13) 34695470,-23.96437,-46.39122
CMEJA DE SAO VICENTE CEJACON,35265469,Pública,QUARENTENARIO,1001 JARDIM IRMA DOLORES,DOLORES,11347-520,(13) 35763380,-23.9842,-46.46252
TIC TAC CRECHE MUNICIPAL,35268975,Pública,ALESSANDRIA,5 RUA,RUA,11330-630,(13) 34620256,-23.9666957,-46.4018259
EL SHADAY CRECHE MUNICIPAL,35270568,Pública,TAMOIOS,149 RUA,RUA,11360-070,(13) 34660399,-23.9571176,-46.4004245
ZEZE MASSUNO PROFA CRECHE MUNICIPAL COMUNITARIA,35270573,Pública,FREI GASPAR,4237 RUA,RUA,11350-000,(13) 34630709,-23.9478082,-46.4137275
HEBERT DE SOUZA CRECHE MUNICIPAL BETINHO,35271913,Pública,TREZE,70 RUA,RUA,11345-270,(13) 35670267,-23.9897629,-46.4915425
ANTONIO FERNANDO DOS REIS PREF CRECHE MUNICIPAL,35271925,Pública,VINTE E DOIS DE JANEIRO,630 CENTRO,CENTRO,11310-090,,-23.9666121,-46.3932471
UNIDADE EDUCACIONAL ANTONIO PACIFICO,35273485,Pública,ANADIR DIAS DE CARVALHO,438 RUA,RUA,11360-400,(13) 34646586,-23.9391079,-46.3968223
UNIDADE EDUCACIONAL ARMINDO RAMOS,35273491,Pública,SERGIPE,131 RUA,RUA,11345-050,(13) 35661165,-23.9911652,-46.477164
UNIDADE EDUCACIONAL PROFESSOR GILSON KOOL MONTEIRO,35273508,Pública,RIVALDO DE LIMA FERREIRA,SN VILA MATIAS,MATIAS,11345-290,(13) 35662717,-23.9891701,-46.4922337
UNIDADE EDUCACIONAL PASTOR JOAQUIM RODRIGUES DA SILVA,35273512,Pública,JOAO FRANCISCO BENSDORF,301 CIDADE NAUTICA,NAUTICA,11350-010,(13) 34642173,-23.9547723,-46.4107385
UNIDADE EDUCACIONAL PROFESSORA LAURA FILGUEIRAS,35273521,Pública,MARECHAL EUCLIDES ZENOBIO DA COSTA,75 RUA,RUA,11335-330,(13) 34631420,-23.961664,-46.4070049
UNIDADE EDUCACIONAL PROFESSOR LUCIO MARTINS RODRIGUES,35273533,Pública,ODAIR MULLER DE AZEVEDO MARQUES,434 RUA,RUA,11330-690,(13) 34646289,-23.968206,-46.4093173
UNIDADE EDUCACIONAL PROFESSOR LUIZ PINHO DE CARVALHO FILHO,35273545,Pública,DOUTOR JOSE SINGER,369 RUA,RUA,11349-020,(13) 34662298,-23.9485044,-46.4611603
UNIDADE EDUCACIONAL PROFESSOR RENAN ALVES LEITE,35273557,Pública,DOUTOR ALCIDES DE ARAUJO,1030 AVENIDA,AVENIDA,11370-200,(13) 35613211,-23.9526488,-46.3836385
UNIDADE EDUCACIONAL PREFEITO JOSE MEIRELLES,35275517,Pública,TUPA,345 RUA,RUA,11347-030,(13) 35768396,-23.9775444,-46.4566911
UNIDADE EDUCACIONAL PREFEITO ANTONIO FERNANDO DOS REIS,35275529,Pública,JUIZ DE FORA,90 AVENIDA,AVENIDA,11380-420,(13) 35617722,-23.9624877,-46.3695272
UNIDADE EDUCACIONAL PREFEITO LUIZ BENEDITINO FERREIRA,35275530,Pública,DOUTOR POLYDORO DE OLIVEIRA BITTENCOURT,333 RUA,RUA,11330-570,(13) 34611030,-23.9674564,-46.4021862
