nome-fantasia,esfera-administrativa,cep,logradouro,numero,bairro,telefone,latitude,longitude,turno-atendimento,centro-cirurgico,centro-obstetrico,centro-neonatal,atendimento-hospitalar,servico-apoio,atendimento-ambulatorial,ambulatorial-sus
ATEF MOUBAREC SERVICOS ODONTOLOGICOS SAO VICENTE,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,576,CENTRO,13 34671079,-239.638.033.168,-46.385.242.939,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
WO ODONTOLOGIA SAO VICENTE,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,576,CENTRO,13 96576785,-239.637.853,-463.853.854,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
MACRINO DA SILVA FILHO SAO VICENTE,MUNICIPAL,11310510,RUA JOAO RAMALHO,825,CENTRO,34673883,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ALMAI INSTITUTO DE NEURODESENVOLVIMENTO INFANTIL SV,MUNICIPAL,11310290,RUA SANTA CRUZ,134,CENTRO,1332234711,-239.681.181,-463.901.502,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
RENATO VANZELLA VICENTE SAO VICENTE,MUNICIPAL,11320070,BENEDITO CALIXTO,182,CENTRO,13 33563350,-239.674.743,-463.761.485,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
EVOLUIR CLINICA NEURO DESENVOLVIMENTO SV,MUNICIPAL,11310050,JOAO RAMALHO,803,CENTRO,13 74090233,-239.662.224.396,-463.830.059.767,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LETICIA ALMEIDA TARRACO MARQUES SV,MUNICIPAL,11310050,JOAO RAMALHO,825,CENTRO,13 03333333,-239.661.856.751,-463.832.312.822,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SER E CRESCER SAO VICENTE,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,576,CENTRO,13 88554118,-239.638.278.269,-463.853.985.071,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
POLICLINICA IPIRANGA,MUNICIPAL,11310420,RUA IPIRANGA,36,CENTRO,34689912,-2.396.722,-46.388.319,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
COMPLEXO REGULADOR SAO VICENTE,MUNICIPAL,11310010,RUA PADRE ANCHIETA,462,CENTRO,,-239.664.797.904,-463.838.642.836,MANHA-TARDE,,,,,0.0,0.0,SIM
UNIDADE MOVEL ODONTOLOGICA SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,462,CENTRO,,-23.966.379,-46.383.744,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LUCYMARA SALVIA,MUNICIPAL,11310000,AV PRESIDENTE WILSON,1473,CENTRO,13997817003,-239.654.111.684,-463.819.867.373,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
TOMOSANTOS,MUNICIPAL,11310300,PRACA BERNARDINO DE CAMPOS,339,CENTRO,35692108,-23.967.714,-46.388.435,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
TORTIA ODONTOLOGIA,MUNICIPAL,11310071,RUA JACOB EMMERICK,365,CENTRO,30227453,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CATARINA RAMOS MARTINS SAO VICENTE,MUNICIPAL,11310000,PRACA BARAO DO RIO BRANCO,94,CENTRO,34671130,-23.966.827,-46.385.822,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
WILSON CESAR BUENO,MUNICIPAL,11310450,RUA SOROCABANA,93,CENTRO,34665680,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
BRUNO FROES LIMA LAFRAIA SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,574,CENTRO,(13) 30226471,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CARINA MARTINS CARNEIRO FRANCISCO SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,637,CENTRO,(13) 30223602,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
RAIA DROGASIL FILIAL 181 SV,MUNICIPAL,11310060,FREI GASPAR,504,CENTRO,,-239.665.533.191,-463.842.988.014,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
RAIA DROGASIL LOJA 0017 SV,MUNICIPAL,11310061,FREI GASPAR,686,CENTRO,11 37695731,-239.658.082.262,-463.857.793.808,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
NILTON LUIZ BRANCO,MUNICIPAL,11310061,RUA FREI GASPAR,773,CENTRO,34685394,-23.965.517,-46.386.816,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
IACS XV DE NOVEMBRO SAO VICENTE,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,313,CENTRO,3136298042,-239.657.578.147,-463.866.088.453,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RICARDO DE SALLES JUNQUEIRA,MUNICIPAL,11310060,RUA FREI GASPAR,548,CENTRO,34697557,-23.966.405,-46.384.628,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINIMATER SAO VICENTE,MUNICIPAL,11310421,RUA IPIRANGA,339,CENTRO,(13) 22027373,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO ODONTOLOGICO CRISTIANE ROSA DOS SANTOS S VIC,MUNICIPAL,11310071,RUA JACOB EMMERICH,379,CENTRO,(13) 30270327,-23.967.599,-46.385.106,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO DE PSICOLOGIA VANDA DO CARMO L DIAS S VICENTE,MUNICIPAL,11310400,RUA IPIRANGA,345,CENTRO,(13) 34667265,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINICA DE VACINACAO IMUNITI LTDA,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,1334694909,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LABORATORIO DE ANALISES CLINICAS CELLULA MATER SAO VICENTE,MUNICIPAL,11310441,RUA VISCONDE DE TAMANDARE,499,CENTRO,(13) 32252586,-23.965.033,-46.390.267,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
MP FISIOTERAPIA SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,739,CENTRO,33299495,-23.965.542,-46.386.695,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
MARIA CONCEICAO PEREZ DOMINGUES SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMMERICK,379,CENTRO,(13) 34673278,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
